Rk,Team ID,Team,Year,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,Restricted Area FGM, Restricted Area FGA,Restricted Area FG%,In the Paint (Non-RA) FGM,In the Paint (Non-RA) FGA,In the Paint (Non-RA) FG%,Mid-Range FGM,Mid-Range FGA,Mid-Range FG%,Left Corner 3 FGM,Left Corner 3 FGA,Left Corner 3 FG%,Right Corner 3 FGM,Right Corner 3 FGA,Right Corner 3 FG%,Above the Break 3 FGM,Above the Break 3 FGA,Above the Break 3 FG%,Backcourt FGA,Backcourt FGA,Backcourt FG%,1-4ft FGM,1-4ft FGA,1-4ft FG%,5-9ft FGM,5-9ft FGA,5-9ft FG%,10-14ft FGM,10-14ft FGA,10-14ft FG%,15-19ft FGM,15-19ft FGA,15-19ft FG%,20-24ft FGM,20-24ft FGA,20-24ft FG%,25-29ft FGM,25-29ft FGA,25-29ft FG%,30-34ft FGM,30-34ft FGA,30-34ft FG%,35-39ft FGM,35-39ft FGA,35-39ft FG%,41ft FGM,41ft FGA,41ft FG%
21,1610612760,Oklahoma City Thunder*,16,55,27,59,23,7.28,-0.19,7.09,113.1,105.6,7.5,96.7,0.292,0.275,0.565,0.524,14,31.1,0.228,18.7,30.8,0.607,5.1,11.1,0.462,9,20.7,0.436,1.3,3.6,0.362,1.2,3.5,0.351,5.7,16.5,0.347,0,0.1,0,19.5,32.6,0.596,3.2,6.8,0.468,4,8.5,0.471,5.5,12.4,0.441,6,17.3,0.35,2.9,8.3,0.351,0,0.3,0.143,0,0.2,0.143,0,0.1,0
22,1610612753,Orlando Magic,16,35,47,36,46,-1.62,-0.06,-1.68,105.1,106.8,-1.7,96,0.232,0.255,0.533,0.5,12.8,23.1,0.175,16.5,27.5,0.6,5.3,12.8,0.414,10,24.4,0.41,1.1,3,0.354,1,2.5,0.383,5.7,16.4,0.35,0,0.3,0,17.3,29.4,0.588,3.9,9.3,0.416,2.6,6.3,0.407,6.3,14.8,0.425,6,16.2,0.372,3.5,10.3,0.34,0,0.2,0,0,0.2,0,0,0.3,0
23,1610612755,Philadelphia 76ers,16,10,72,16,66,-10.23,0.31,-9.92,98.8,109.2,-10.4,97.9,0.269,0.327,0.519,0.487,14.8,20.6,0.186,17.3,29.2,0.592,4.3,12.4,0.346,5.3,14.8,0.358,1.3,3.3,0.38,1.2,3.3,0.361,6.8,20.6,0.331,0,0.2,0.071,18,31.5,0.57,3.2,8.5,0.375,2.3,6.3,0.362,2.7,8.1,0.334,5,14,0.358,5,15,0.331,0.1,0.3,0.417,0,0.3,0.1,0,0.2,0.056
24,1610612756,Phoenix Suns,16,23,59,24,58,-6.66,0.34,-6.32,102.2,109,-6.8,98.5,0.271,0.302,0.526,0.487,15.2,25.4,0.204,16.7,28.4,0.587,4,11,0.367,7.5,20.3,0.369,1,3,0.341,1.2,3,0.385,6.8,19.6,0.347,0,0.2,0,17.3,30.5,0.567,3,8.1,0.366,2.5,6,0.418,4.1,11.4,0.358,6.5,18,0.363,3.8,11,0.342,0,0.3,0.071,0,0.3,0.091,0,0.2,0
25,1610612757,Portland Trail Blazers*,16,44,38,43,39,0.83,0.15,0.98,108.8,108,0.8,96,0.268,0.332,0.548,0.511,13.2,25.9,0.202,15.5,26.8,0.578,4,10.3,0.39,8.5,20.2,0.423,1.6,3.9,0.418,1.1,3.2,0.362,7.8,21.3,0.366,0,0.1,0,16.2,28.9,0.559,2.7,7,0.393,2.6,5.9,0.436,5,11.7,0.429,8.1,20.7,0.393,3.9,11.1,0.352,0,0.3,0.091,0,0.2,0.167,0,0.2,0.063
26,1610612758,Sacramento Kings,16,33,49,34,48,-2.48,0.16,-2.32,106,108.4,-2.4,100,0.295,0.26,0.546,0.51,14.2,23.9,0.214,19,30.4,0.626,5.7,15.4,0.372,7.2,18.2,0.397,1.1,2.3,0.471,1.2,3,0.381,5.8,16.9,0.344,0,0.2,0,20.2,33.9,0.597,4.2,11,0.383,1.7,4.2,0.401,4,10,0.395,6.3,16.6,0.38,3.6,10.2,0.354,0,0.3,0.133,0,0.1,0,0,0.2,0
27,1610612759,San Antonio Spurs*,16,67,15,67,15,10.63,-0.36,10.28,110.3,99,11.3,93.8,0.246,0.223,0.564,0.526,12.4,23,0.197,15.7,24.1,0.65,6.1,13.5,0.453,11.4,26.8,0.425,0.9,2.6,0.36,1.1,2.8,0.397,4.9,12.9,0.378,0,0.1,0,16.7,26.2,0.637,4.4,10.1,0.438,3.8,8.6,0.437,7,16.3,0.432,5.7,14.4,0.399,2.4,6.8,0.351,0,0.1,0,0,0.1,0,0,0.2,0
28,1610612761,Toronto Raptors*,16,56,26,53,29,4.5,-0.42,4.08,110,105.2,4.8,92.9,0.328,0.287,0.552,0.504,12.3,24.6,0.255,15.6,26.2,0.595,5.5,13.3,0.41,7,18.4,0.377,1.6,4.1,0.391,1.3,2.9,0.433,5.8,16.1,0.358,0,0.1,0.111,16.8,29.2,0.575,3.5,8.5,0.411,2.8,7.1,0.396,4,10.2,0.394,5.9,15.9,0.369,3.6,9.8,0.371,0,0.3,0.182,0,0.3,0,0,0.2,0.063
29,1610612762,Utah Jazz,16,40,42,46,36,1.79,0.05,1.84,105.9,103.9,2,91,0.286,0.297,0.54,0.501,14.2,25.9,0.213,15.6,25.9,0.602,5.3,13.3,0.398,6.7,17.4,0.387,1.6,3.8,0.416,1.5,4,0.379,5.4,15.9,0.34,0,0.3,0,16.2,28,0.578,3.7,8.9,0.423,3.1,7.7,0.399,3.6,9.3,0.388,7.5,20.6,0.363,2,5.7,0.352,0,0.1,0,0,0.1,0,0,0.3,0
30,1610612764,Washington Wizards,16,41,41,40,42,-0.5,0,-0.5,105.3,105.8,-0.5,98.5,0.263,0.282,0.544,0.511,13.1,20.6,0.192,16.6,26.8,0.622,4.5,10.9,0.417,9.6,23.9,0.403,1,3.1,0.332,1.4,3.2,0.431,6.2,17.7,0.353,0,0.2,0.071,17.3,28.6,0.607,3.1,7.4,0.419,3.1,7.3,0.429,5.6,14.4,0.392,5.7,14.7,0.389,4.5,12.8,0.35,0,0.3,0.125,0,0.2,0,0,0.2,0.063
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
